SCHEMES,FUND NAME, A U M,LAUNCH DATE,1 DAY,7 DAY,15 DAY,30 DAY,3 MONTH,6 MONTH,1 YEAR,2 YEAR,3 YEAR,5 YEAR,7 YEAR,10 YEAR,15 YEAR,20 YEAR,25 YEAR,SINCE INCEPTION RETURN,FUND RAT,CATEGORY,CURRENT NAV,ALPHA,BETA,MEAN,STANDARD DEV,SHARPE RATIO,SORTI I NO,FUND MANAGER,AVG MAT,MODIFIED DURATION,YTM,PURCHASE MIN AMOUNT,SIP MIN AMOUNT,LARGE CAP,MID CAP,SMALL CAP,PB RATIO,PE RATIO,EXIT LOAD, EQUITY(%), DEBT(%), GOLD(%), GLOBAL EQUITY(%), OTHER(%),RS QUARD,EXPENSE RATIO,SOV,A,AA,AAA,BIG,CASH,DOWNSIDE DEVIATION,DOWNSIDE PROBABILITY
HSBC Asia Pacific (Ex Japan) Dividend Yield Reg (G),HSBC Mutual Fund,69,24-02-2014,-0.2,-0.89,-0.06,4.15,9.37,24.07,32.96,26.46,19.52,10.59,11.37,11.4,,,,9.35,0,Equity: Global,28.5645,,,22.85,14.21,1.17,2.45,Sonal Gupta,,,,1000,500,97.2,0,0,0,0,1% for redemption within 365 days,0,2.8,0,97.2,0,,1.38,,,,,,2.8,11.6925,46.4544
HSBC Balanced Advantage Fund (G),HSBC Mutual Fund,1588,07-02-2011,0.22,0.26,0.15,-0.03,1.59,3.05,5.07,11.51,11.79,9.75,9.48,8.42,,,,10.49,3,Hybrid: Balanced Advantage,43.9862,1.06,0.62,11.5,6.63,0.79,1.16,Neelotpal Sahai,4.32,3.39,6.62,1000,500,45.69,11.58,11.2,3.75,24.13,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",68.47,31.53,0,0,0,,2.11,14.54,,,16.1,,0.89,,
HSBC Banking and PSU Debt Fund (G),HSBC Mutual Fund,4425,20-09-2007,0.01,0.04,0.26,0.41,1.63,2.82,8.04,7.63,7.19,5.23,6.59,6.79,4.78,,,5.14,3,Debt: Banking and PSU,24.8683,5.45,2.69,7.11,1.07,0.78,1.29,Mahesh A Chhabria,3.12,2.69,6.73,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,0.57,13.06,,,86.11,,0.83,,
HSBC Brazil Fund (G),HSBC Mutual Fund,245,06-05-2011,-1.14,0.81,4.77,11.2,15.79,22.67,34.81,8.92,12.37,5.16,0.95,6.44,,,,-0.83,0,Equity: Global,8.8594,,,8.24,22.31,0.09,0.19,Sonal Gupta,,,,1000,500,95.73,0,0,0,0,1% for redemption within 365 days,0,4.27,0,95.73,0,,1.55,,,,,,4.27,27.3995,49.1828
HSBC Business Cycles Fund (G),HSBC Mutual Fund,1161,20-08-2014,0.85,1.72,-0.35,-0.71,1.06,1.92,3.9,20.89,20.69,22.22,16.64,13.91,,,,13.72,0,Equity: Thematic,42.8377,3.45,1.11,20.47,16.59,0.86,1.16,Gautam Bhupal,,,,1000,500,40.61,16.19,36.52,3.71,24.77,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",93.32,6.68,0,0,0,,2.2,,,,,,6.68,,
HSBC Cash Fund Reg Plan (G) (Susp),HSBC Mutual Fund,16881,04-12-2002,0.02,0.11,0.24,0.47,1.43,2.98,6.63,6.99,6.98,5.37,5.19,5.52,6.31,6.18,,6.03,0,Debt: Liquid,3838.5533,1.13,0.36,6.77,0.17,2.92,3.81,Abhishek Iyer,0.15,0.15,6.01,0,0,0,0,0,0,0,Exit load of 0.0070% if redeemed within 1 day 0.0065% if redeemed within 2 days 0.0060% if redeemed within 3 days 0.0055% if redeemed within 4 days 0.0050% if redeemed within 5 days 0.0045% if redeemed within 6 days.,0,100,0,0,0,,0.21,21.16,,,86.13,,-7.29,0.1199,0.9368
HSBC Conservative Hybrid Fund (G),HSBC Mutual Fund,151,24-02-2004,0.18,0.16,-0.4,-0.81,0.17,1.35,6.27,10.54,9.91,8.26,8.53,7.66,8.02,8.71,,8.19,3,Hybrid: Conservative,61.9335,0.53,0.98,9.99,4.64,0.8,0.94,Abhishek Gupta,7.8,5.86,6.72,1000,1000,9.69,6.09,4.08,8.71,52.2,0,19.86,80.14,0,0,0,,2.15,64.12,,,14.06,,1.96,4.8534,45.5801
HSBC Consumption Fund Reg (G),HSBC Mutual Fund,1783,31-08-2023,0.71,0.94,-0.2,-1.43,2.63,6.69,5.84,18.82,,,,,,,,19.9,0,Equity: Thematic,14.953,,,,,,,Anish Goenka,,,,1000,500,41.67,28.06,27.5,8.25,52.74,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year",97.23,2.77,0,0,0,,2.07,,,,,,2.77,,
HSBC Corporate Bond Fund (G) Plan,HSBC Mutual Fund,6401,31-03-1997,0.02,0.05,0.25,0.38,1.67,3.05,8.43,8.25,7.59,5.72,7.88,7.17,7.36,6.02,6.56,6.72,1,Debt: Corporate Bond,75.1066,0.88,0.68,7.62,1.37,0.99,1.92,Asif Rizwi,2.92,2.62,6.73,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,0.6,14.16,,,86.06,,-0.22,,
HSBC Corporate Bond Fund 54EA Reg Cum,HSBC Mutual Fund,,,0.02,0.05,0.25,0.45,1.67,3.05,8.43,8.25,7.59,5.72,7.88,7.17,7.36,6.02,6.54,7.29,,Debt: Corporate Bond,75.1066,,,,,,,,,,,1000,1000,,,,,,,0,100,0,0,0,,,,,,,,,,
HSBC Credit Risk Fund (G),HSBC Mutual Fund,535,08-10-2009,0.04,0.08,0.29,0.47,1.51,2.71,20.74,13.63,11.16,8.39,7.12,7.18,7.86,,,7.68,1,Debt: Credit Risk,33.0261,25.65,12.23,10.93,6.84,0.68,8.1,Shriram Ramanathan,2.44,1.78,7.49,1000,1000,0,0,0,0,0,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year",0,100,0,0,0,,1.64,13.46,7.72,58.56,19.9,,0.36,,
HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund Reg (G),HSBC Mutual Fund,1861,31-03-2022,0.08,0.15,0.28,0.49,1.53,2.83,8.3,8.34,7.82,,,,,,,6.88,0,Debt: Medium to Long Duration,12.7359,8.22,3.91,7.77,1.43,1.05,1.69,Asif Rizwi,2.34,2.14,6.24,1000,500,0,0,0,0,0,0,0,100,0,0,0,,0.36,98.84,,,,,1.16,,
HSBC CRISIL IBX Gilt June 2027 Index Fund Reg (G),HSBC Mutual Fund,195,23-03-2023,0.09,0.14,0.36,0.49,1.55,3.03,8.05,7.93,,,,,,,,7.7,0,Debt: Medium Duration,12.178,,,,,,,Asif Rizwi,1.66,1.57,5.82,1000,500,0,0,0,0,0,0,0,100,0,0,0,,0.36,99.43,,,,,0.57,,
HSBC Dynamic Bond Fund Reg (G),HSBC Mutual Fund,171,27-09-2010,-0.02,-0.18,0.01,-0.3,0.81,-0.28,6.28,7.48,6.95,4.97,6.66,6.74,7.54,,,5.85,3,Debt: Corporate Bond,29.8604,-0.26,1.38,6.96,2.41,0.29,0.39,Shriram Ramanathan,12.34,6.17,6.9,0,0,0,0,0,0,0,0,0,100,0,0,0,,0.78,70.52,,,23.96,,5.52,,
HSBC ELSS Tax Saver Fund (G),HSBC Mutual Fund,4215,27-02-2006,0.47,1.7,0.67,1.13,5.44,5.67,8.1,21.32,19.97,19.05,14.62,14.23,12.54,,,14.26,3,Equity: ELSS,138.8433,3.06,0.98,18.83,14.03,0.9,1.1,Abhishek Gupta,,,,500,500,51.54,20.47,26.41,3.82,27.14,0,98.42,1.58,0,0,0,,1.9,,,,,,1.58,,
HSBC Equity Savings Fund (G),HSBC Mutual Fund,759,18-10-2011,0.71,1.13,1.29,0.21,4,7.44,8.47,14.15,14.11,12.89,10.65,9.24,,,,9.26,4,Hybrid: Equity Savings,34.8257,3.9,0.62,13.03,7.28,0.93,0.89,Cheenu Gupta,3.93,3.19,6.55,1000,500,20.19,12.06,3,3.59,27.06,"For units in excess of 10% of the investment, 0.5% will be charged for redemption within 30 days",35.25,64.75,0,0,0,,1.52,31.27,,,27.9,,3.83,,
HSBC Financial Services Fund (G),HSBC Mutual Fund,761,27-02-2025,0.86,0.93,1.82,2.03,6.84,7.39,,,,,,,,,,26.89,0,Equity: Sectoral,12.0356,,,,,,,Gautam Bhupal,,,,1000,500,41.45,30.51,17.83,3.02,20.72,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year",89.79,10.21,0,0,0,,2.35,,,,,,10.21,,
HSBC Flexi Cap Fund Reg (G),HSBC Mutual Fund,5267,24-02-2004,0.49,1.04,-0.09,0.51,4.03,5.35,6.71,19.68,19.83,19.21,15.53,13.98,12.73,13.54,,15.43,4,Equity: Flexi Cap,224.785,3.42,1.01,19.46,13.99,0.94,1.17,Abhishek Gupta,,,,1000,500,52.39,23.06,23.47,3.68,26.12,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",98.92,1.08,0,0,0,,1.92,,,,,,1.08,13.7932,43.9024
HSBC Focused Fund Reg (G),HSBC Mutual Fund,1708,22-07-2020,0.35,0.64,0.31,-0.37,2.77,6.82,4.82,16.04,15.85,17.46,13.49,,,,,13.53,2,Equity: Focused,25.5816,0.1,0.98,15.9,14.2,0.68,0.88,Neelotpal Sahai,,,,1000,500,48.5,30.28,15.73,4.56,28.02,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",94.51,5.49,0,0,0,,2.11,,,,,,5.49,,
HSBC Gilt Fund (G),HSBC Mutual Fund,293,29-03-2000,-0.03,-0.3,-0.16,-0.75,0.1,-2.19,3.92,6.07,5.7,3.99,5.97,6.09,7.57,6.57,,7.62,2,Debt: Gilt Fund,65.7063,-2.18,0.86,5.86,3.14,-0.13,-0.17,Shriram Ramanathan,20.73,9.55,7,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,1.58,97.93,,,,,2.07,,
HSBC Global Emerging Markets Fund (G),HSBC Mutual Fund,265,17-03-2008,0.19,-1.1,-1.2,3.62,12.36,24.39,37.69,25.19,17.3,6.88,9.47,9.62,6.31,,,5.43,0,Equity: Global,25.4829,,,20.43,15.94,0.89,1.58,Sonal Gupta,,,,1000,500,97.64,0,0,0,0,1% for redemption within 365 days,0,2.36,0,97.64,0,,1.55,,,,,,2.36,13.075,46.3855
HSBC Global Equity Climate Change FoF Reg (G),HSBC Mutual Fund,53,22-03-2021,-0.74,-1.5,-3.2,-1.89,-1.51,3.99,7.64,11.14,8.44,,,,,,,2.08,0,Equity: Global,11.0106,,,11.75,13.95,0.39,0.68,Sonal Gupta,,,,1000,500,97.17,0,0,0,0,1% for redemption within 365 days,0,2.83,0,97.17,0,,1.44,,,,,,2.83,,
HSBC Income Plus Arbitrage Active FOF Reg (G),HSBC Mutual Fund,629,30-04-2014,0.02,0.07,0.24,0.29,1.4,2.41,6.02,7.7,7.31,5.81,6.34,6.35,,,,7.01,0,Others: FoFs Domestic,21.8721,,,7.22,1.85,0.52,0.77,Asif Rizwi,5.55,3.58,6.76,1000,500,0,0,0,0,0,0,0,100,0,0,0,,0.49,,,,,96.33,3.67,4.8481,40.2759
HSBC India Export Opportunities Fund Reg (G),HSBC Mutual Fund,1579,25-09-2024,0.52,2.22,1.41,2.61,6.87,6.9,5.24,,,,,,,,,0.93,0,Equity: Thematic,10.1061,,,,,,,Abhishek Gupta,,,,1000,500,45.5,16.97,35.35,5.2,31.87,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year",97.82,2.18,0,0,0,,2.1,,,,,,2.18,,
HSBC Infrastructure Fund Reg (G),HSBC Mutual Fund,2372,27-09-2007,0.63,2.75,0.18,1.62,4.03,2.51,1.42,18.56,23.66,27.98,16.91,16.37,12.45,,,8.73,3,Equity: Sectoral,47.5145,2.95,0.61,23.33,18,0.95,1.26,Gautam Bhupal,,,,0,0,55.85,13.37,28.99,3.96,27.14,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",98.21,1.79,0,0,0,,2.05,,,,,,1.79,,
HSBC Large & Mid Cap Fund (G),HSBC Mutual Fund,4613,28-03-2019,1.34,2.58,1.76,0.56,6.03,8.88,7.39,20.48,20.91,20.36,15.91,14.1,13.17,,,13.96,3,Equity: Large & Mid Cap,28.0064,4.05,0.99,19.44,15.67,0.84,0.88,Cheenu Gupta,,,,0,500,41.9,40.02,14.3,6.51,42.75,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",96.22,3.78,0,0,0,,1.89,,,,,,3.78,,
HSBC Large Cap Fund (G),HSBC Mutual Fund,1893,10-12-2002,0.58,1.45,0.77,0.64,3.93,4.67,5.93,15.07,14.35,15.06,13.96,13.16,10.39,12.37,,18.31,3,Equity: Large Cap,487.4875,-0.52,0.95,13.9,12.15,0.63,0.89,Neelotpal Sahai,,,,1000,500,89.27,7.23,2.5,3.7,22.75,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",99,1,0,0,0,,2.12,,,,,,1,12.7877,45.2575
HSBC Liquid Fund (G),HSBC Mutual Fund,16881,01-06-2004,0.02,0.11,0.24,0.47,1.43,2.98,6.63,6.99,6.98,5.7,5.68,6.13,4.07,4.62,,4.66,4,Debt: Liquid,2660.4811,1.13,0.35,6.78,0.18,2.95,4.08,Abhishek Iyer,0.15,0.15,6.01,1000,1000,0,0,0,0,0,Exit load of 0.0070% if redeemed within 1 day 0.0065% if redeemed within 2 days 0.0060% if redeemed within 3 days 0.0055% if redeemed within 4 days 0.0050% if redeemed within 5 days 0.0045% if redeemed within 6 days.,0,100,0,0,0,,0.22,21.16,,,86.13,,-7.29,0.1174,0.7026
HSBC Low Duration Fund Reg (G),HSBC Mutual Fund,1182,04-12-2010,0.06,0.13,0.28,0.49,1.52,3.14,8.73,8.07,7.74,6.04,6.15,6.7,3.36,,,4.06,1,Debt: Low Duration,29.3811,4.9,2.13,7.51,0.96,1.3,5.97,Asif Rizwi,1.3,0.98,6.79,0,0,0,0,0,0,0,0,0,98.14,1.86,0,0,,0.89,10.88,2.18,10.47,73.08,,1.53,,
HSBC Medium Duration Fund (G),HSBC Mutual Fund,782,02-02-2015,0.01,-0.01,0.24,0.32,1.51,2.52,8.4,8.22,7.73,6.22,6.9,6.82,,,,7.05,4,Debt: Medium Duration,20.9222,0.89,0.72,7.65,1.29,1.08,1.68,Shriram Ramanathan,5.7,3.84,7.51,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,1.02,28.51,6.58,22.3,41.78,,0.83,,
HSBC Medium to Long Duration Fund (G),HSBC Mutual Fund,48,10-12-2002,-0.04,-0.12,0.13,-0.06,0.93,0.26,6.22,6.91,6.3,4.24,6.03,5.65,6.56,6.66,,6.46,2,Debt: Medium to Long Duration,42.5602,-0.69,1.31,6.47,2.26,0.09,0.13,Asif Rizwi,9.71,5.56,6.81,1000,500,0,0,0,0,0,0,0,100,0,0,0,,1.28,56.11,,,41.7,,2.19,2.8165,43.232
HSBC Midcap Fund Reg (G),HSBC Mutual Fund,12370,09-08-2004,1.3,2.96,2.83,2.15,6.82,11.24,10.1,23.52,25.67,23.34,17.8,16.75,15.84,16.52,,19.1,3,Equity: Mid Cap,412.2152,1.13,0.99,23.36,16.83,1.02,1.1,Cheenu Gupta,,,,0,0,15.58,69.17,12.09,7.31,54.05,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",96.84,3.16,0,0,0,,1.71,,,,,,3.16,,
HSBC Money Market Fund (G),HSBC Mutual Fund,5525,10-08-2005,0.05,0.12,0.28,0.5,1.52,3.25,7.47,7.42,7.25,5.64,6.07,6.62,4.59,5.02,,5.03,3,Debt: Money Market,27.0605,2.24,0.86,7.04,0.32,2.38,5.21,Abhishek Iyer,0.46,0.46,6.26,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,0.34,14.48,,,85.16,,0.36,,
HSBC Multi Asset Active FOF Reg (G),HSBC Mutual Fund,65,30-04-2014,0.14,1.01,0.91,-0.4,6.65,9.66,13.21,16.01,15.43,14.78,13.08,11.98,,,,12.3,2,Others: FoFs Domestic,38.2326,0.53,0.93,14.65,8.64,0.97,1.31,Gautam Bhupal,,,,1000,500,34.14,22.39,16.01,0,0,1% for redemption within 365 days,72.54,21.45,6.01,0,0,,1.44,,,,,18.21,3.24,,
HSBC Multi Asset Allocation Fund Reg (G),HSBC Mutual Fund,2289,28-02-2024,0.57,1.95,1.29,-1.38,7.6,13.14,14.56,,,,,,,,,16.24,0,Hybrid: Multi-Asset,12.9558,,,,,,,Cheenu Gupta,4.07,3.19,6.81,1000,500,38.78,23.05,8.9,6.92,35.53,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year",70.73,16.68,10.72,0,1.87,,1.82,3.08,,,7.95,1.68,3.97,,
HSBC Multi Cap Fund Reg (G),HSBC Mutual Fund,5268,30-01-2023,0.63,0.88,0.63,1.04,5.3,6.84,7.71,19.66,,,,,,,,26.36,0,Equity: Multi Cap,19.2528,,,,,,,Venugopal Manghat,,,,1000,500,43.74,28.82,26.25,4.34,28.19,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year",98.81,1.19,0,0,0,,1.83,,,,,,1.19,,
HSBC Nifty 50 Index Fund Reg (G),HSBC Mutual Fund,364,15-04-2020,0.4,1.74,1.19,1.3,5.66,4.69,11.34,15.58,13.05,15.8,,,,,,21.45,3,Equity: Index,30.0307,-1.17,0.94,13.21,11.65,0.6,0.99,Praveen Ayathan,,,,1000,500,99.56,0,0.41,3.6,24.11,"For units in excess of 10% of the investment, 1% will be charged for redemption within 30 days",99.97,0.03,0,0,0,,0.43,,,,,,0.03,,
HSBC Nifty Next 50 Index Fund Reg (G),HSBC Mutual Fund,143,15-04-2020,0.52,0.74,0.45,1.15,5.42,4.83,3.95,22,17.51,18.48,,,,,,21.41,1,Equity: Index,29.975,0.19,1.32,17.82,17.8,0.65,0.9,Praveen Ayathan,,,,1000,500,90.67,6.63,2.7,3.68,21.6,"For units in excess of 10% of the investment, 1% will be charged for redemption within 30 days",100,0,0,0,0,,0.72,,,,,,,,
HSBC Overnight Fund (G),HSBC Mutual Fund,4258,22-05-2019,0.01,0.1,0.21,0.44,1.34,2.7,5.89,6.26,6.34,5.26,4.95,5.22,2.76,,,3.59,3,Debt: Overnight,1371.7916,0.1,0.11,6.17,0.14,-0.65,-1.08,Abhishek Iyer,,,5.61,0,1000,0,0,0,0,0,0,0,100,0,0,0,,0.14,5.27,,,,,94.73,,
HSBC Short Duration Fund Reg (G),HSBC Mutual Fund,4438,27-12-2011,0.03,0.06,0.27,0.43,1.59,2.84,8.26,7.9,7.38,5.54,6.78,6.75,6.34,6.42,,6.27,3,Debt: Short Duration,27.1418,5.57,2.7,7.21,0.99,0.95,1.73,Asif Rizwi,3.03,2.61,6.81,0,0,0,0,0,0,0,0,0,100,0,0,0,,0.68,21.23,,,78.58,,0.19,,
HSBC Small Cap Fund Reg (G),HSBC Mutual Fund,16548,12-05-2014,0.52,1.03,-0.28,0.39,2.84,3.16,-2.71,11.17,19.72,28.1,18.71,18.41,11.81,12.26,,13.74,3,Equity: Small Cap,80.9637,-1.17,0.93,19.74,18.19,0.74,0.94,Venugopal Manghat,,,,0,0,0,28.62,68.77,4.69,35.45,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",97.39,2.61,0,0,0,,1.67,,,,,,2.61,,
HSBC Tax Saver Equity Fund (G),HSBC Mutual Fund,246,05-01-2007,0.59,1.56,0.92,0.58,3.09,4.67,6.58,20.76,18.66,19.55,15.9,13.99,12.59,,,12.78,0,Equity: ELSS,96.531,2.77,0.96,18.33,13.98,0.86,1.08,Gautam Bhupal,,,,500,500,49.48,23.17,21.01,4.53,30.37,0,93.66,6.34,0,0,0,,2.5,,,,,,6.34,13.3198,42.4119
HSBC Ultra Short Duration Fund Reg (G),HSBC Mutual Fund,3952,29-01-2020,0.05,0.12,0.29,0.51,1.54,3.19,7.18,7.25,7.16,5.8,6.1,6.5,7.26,7.1,,4.81,4,Debt: Ultra Short Duration,1385.9704,1.81,0.65,6.96,0.25,2.79,5.01,Abhishek Iyer,0.59,0.5,6.35,0,1000,0,0,0,0,0,0,0,100,0,0,0,,0.35,10.06,,,88.46,,1.48,,
HSBC Value Fund (G),HSBC Mutual Fund,14342,08-01-2010,0.74,1.41,1.1,2.66,5.21,7.14,9.32,20.89,23.68,24.35,18.68,16.51,16.01,,,16.43,4,Equity: Value,114.2321,6.35,1,22.33,14.15,1.14,1.54,Venugopal Manghat,,,,1000,500,42.54,28.03,27.65,2.63,17.77,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",98.22,1.78,0,0,0,,1.71,,,,,,1.78,,
ICICI Pru Active Momentum Fund (G),ICICI Prudential Mutual Fund,1321,25-07-2025,0.38,1.16,1.16,1.06,5.24,,,,,,,,,,,12.94,0,Equity: Thematic,10.45,,,,,,,Manasvi Shah,,,,1000,1000,59.09,21.03,10.03,5.88,34.68,1% for redemption within 12 months,90.15,9.85,0,0,0,,2.17,,,,,,9.85,,
ICICI Pru All Seasons Bond Fund (G),ICICI Prudential Mutual Fund,14948,04-05-2009,0.04,-0.05,0.12,-0.06,1.19,1.78,7.57,7.8,7.63,6.38,7.83,7.99,8.92,,,8.72,5,Debt: Dynamic Bond,37.6321,0.77,0.76,7.56,1.38,0.94,1.2,Manish Banthia,12.65,4.84,7.6,1000,100,0,0,0,0,0,0.25% for redemption within 30 days,0,100,0,0,0,,1.28,52.07,4.44,28.37,9.99,,5.13,1.9098,33.7466
ICICI Pru Asset Allocator Fund (FOF) (G),ICICI Prudential Mutual Fund,27750,18-12-2003,0.19,0.71,0.61,0.97,3.53,4.22,11.2,14.16,14.14,14.46,12.94,12.57,11.28,11.88,,12.01,4,Others: FoFs Domestic,124.1433,2.57,0.56,13.56,5.18,1.41,1.95,Dharmesh Kakkad,8.14,3.44,7.19,500,1000,32.45,7.93,8.43,0,0,"For units in excess of 30% of the investment, 1% will be charged for redemption within 1 year",48.81,51.19,0,0,0,,1.25,,,,,48.28,2.91,12.1398,42.7793
ICICI Pru Balanced Advantage Fund Reg (G),ICICI Prudential Mutual Fund,66751,30-12-2006,0.34,0.72,0.72,0.67,4.43,5.52,11.57,14.36,13.42,13.52,12.5,11.45,11.96,,,11.31,4,Hybrid: Balanced Advantage,76.88,2.66,0.55,12.63,5.46,1.17,1.69,Ihab Dalwai,4.33,1.74,6.53,100,100,43.73,4.21,1.52,4.03,25.62,"For units in excess of 30% of the investment, 1% will be charged for redemption within 1 year",49.46,46.26,0,0,4.28,,1.44,15.12,1.68,2.4,7.65,1.12,18.14,6.9115,41.8133
ICICI Pru Banking and Financial Services Fund Reg (G),ICICI Prudential Mutual Fund,10593,22-08-2008,0.62,1.63,2,1.32,4.79,5.86,16.76,18.31,15.97,18.2,13.28,14.74,13.53,,,16.51,3,Equity: Sectoral,139.54,4.34,0.79,15.29,10.98,0.82,1.74,Roshan Chutkey,,,,1000,100,71.85,11.32,14.05,2.55,18.52,1% for redemption within 15 days,97.21,2.79,0,0,0,,1.8,0.47,,,,,2.32,14.96,44.249
ICICI Pru Banking and PSU Debt Fund Reg (G),ICICI Prudential Mutual Fund,9744,01-01-2010,0.04,0.23,0.41,0.52,1.76,2.87,8.09,7.87,7.62,6.31,7.31,7.43,8.05,,,7.92,5,Debt: Banking and PSU,33.5804,4.47,1.96,7.37,0.87,1.26,1.87,Manish Banthia,5.66,3.22,7,100,100,0,0,0,0,0,0,0,100,0,0,0,,0.73,13.9,,0.83,81.67,,3.6,1.5336,31.1295
ICICI Pru BHARAT 22 FOF,ICICI Prudential Mutual Fund,2354,29-06-2018,0.36,1.63,0.74,3.61,8.95,7.2,8.01,22.23,27.5,32.62,18.52,,,,,18.18,5,Equity: Index,34.3715,9.87,1.12,25.76,16.63,1.17,1.87,Ajay Kumar Solanki,,,,1000,1000,91.17,8.15,0.67,0,0,0,99.99,0.01,0,0,0,,0.13,,,,,,0.01,,
ICICI Pru Bharat Consumption Fund (G),ICICI Prudential Mutual Fund,3273,12-04-2019,0.23,1.36,0,-0.87,4.32,5.37,6.27,15.23,17.58,19.42,,,,,,15.51,5,Equity: Thematic,26.1,1.18,0.71,16.57,12.38,0.83,1.03,Priyanka Khandelwal,,,,0,100,67.01,7.99,21.07,6.9,35.96,1% for redemption within 90 days,96.07,3.85,0,0,0.08,,1.99,,,,,,3.85,,
ICICI Pru Bond Fund (G),ICICI Prudential Mutual Fund,2859,18-08-2008,0.02,-0.06,0.12,-0.21,0.91,0.85,7.08,7.8,7.59,5.74,7.45,7.15,7.81,,,8.47,4,Debt: Medium to Long Duration,40.7473,0.57,1.13,7.62,1.98,0.68,0.86,Manish Banthia,16.8,6.28,7.29,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,1.03,62.73,,,32.94,,4.33,2.0702,34.7107
ICICI Pru BSE 500 E T F FOF Reg (G),ICICI Prudential Mutual Fund,61,01-12-2021,-0.77,0.26,-0.23,0.58,4.47,3.58,7.25,15.64,14.51,,,,,,,12.49,3,Equity: Index,15.9448,-0.75,0.97,14.87,12.78,0.67,1.01,Ashwini Jemin Bharucha,,,,500,0.01,71.17,18.46,10.36,0,0,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",99.98,0.02,0,0,0,,0.56,,,,,,0.02,,
ICICI Pru BSE Sensex Index Fund Reg (G),ICICI Prudential Mutual Fund,1964,21-09-2017,0.46,1.68,1.23,1.3,5.51,4.02,10.46,14.64,12.21,14.98,14.15,,,,,13.73,3,Equity: Index,27.8288,-1.72,0.91,12.35,11.27,0.54,0.9,Ajay Kumar Solanki,,,,100,100,99.4,0,0.55,3.77,24.26,0,99.95,0.05,0,0,0,,0.28,,,,,,0.05,,
ICICI Pru Business Cycle Fund Reg (G),ICICI Prudential Mutual Fund,15091,18-01-2021,0.47,1.65,1.33,1.81,6.21,8.35,16.16,24.02,22.62,,,,,,,21.68,0,Equity: Thematic,25.81,6.57,0.84,20.94,11.65,1.26,2.32,Anish Tawakley,,,,1000,100,71.35,13.05,5.99,3.34,24.09,1% for redemption within 30 days,87.29,9.61,0,3.1,0,,1.69,0.82,,,,,8.79,,
ICICI Pru Childrens Fund Reg,ICICI Prudential Mutual Fund,1412,31-08-2001,0.36,1.47,0.76,1.16,2,5.04,11.71,19.09,18.38,17.87,13.9,12.71,11.76,12.9,,15.68,4,Solution: Children Equity,334.19,2.33,1.09,17.46,12.34,0.91,1.3,Aatur Shah,,,,1000,100,40.78,8.49,35.93,3.52,27.53,0,85.2,14.8,0,0,0,,2.18,7.67,0.61,2.88,1.43,,2.21,9.4562,43.4371
ICICI Pru Commodities Fund Reg (G),ICICI Prudential Mutual Fund,3189,15-10-2019,0.14,-0.09,-0.41,1.5,6.34,9.16,15.48,18.75,18.51,29.1,,,,,,27.28,0,Equity: Thematic,44.1,3.79,0.98,19.53,14.92,0.89,1.39,Lalit Kumar,,,,0,100,45.73,23.68,27.15,3.14,27.65,1% for redemption within 90 days,92.99,3.44,0,3.57,0,,1.98,0.22,,,,,3.22,,
ICICI Pru Conglomerate Fund Reg (G),ICICI Prudential Mutual Fund,0,24-10-2025,0.4,1,0.9,0.5,0,,,,,,,,,,,4.13,0,Equity: Thematic,10.05,,,,,,,Lalit Kumar,,,,0,0,0,0,0,0,0,1% for redemption within 12 months,100,0,0,0,0,,0,,,,,,,,
ICICI Pru Constant Maturity Gilt Fund Reg (G),ICICI Prudential Mutual Fund,2585,12-09-2014,-0.01,-0.11,0.37,0.18,0.97,0.81,8.4,8.68,8.15,5.69,8.28,8.13,,,,8.57,0,Debt: Gilt Fund 10 yr duration,25.0998,0.54,0.69,8.25,2.59,0.76,1.23,Manish Banthia,9.91,7.13,6.81,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,0.4,97.12,,,,,2.88,3.5511,42.9752
